"long","lat","bio1","bio12"
-69.2708333330085,-18.5625000002495,3.03649997711182,284
-69.1041666663405,-18.4791666669155,2.60816693305969,313
-69.3124999996755,-18.4791666669155,3.83899998664856,286
-69.2291666663415,-18.4791666669155,4.27583312988281,302
-69.3958333330095,-18.4375000002485,3.17783308029175,274
-69.2708333330085,-18.3958333335815,3.81333303451538,304
-69.3958333330095,-18.3958333335815,3.48333311080933,274
-69.2708333330085,-18.3958333335815,3.81333303451538,304
-69.1041666663405,-18.3958333335815,0.0443333014845848,335
-69.6041666663445,-18.3541666669145,9.86516666412354,152
-69.4791666663435,-18.3125000002475,2.59549999237061,274
-69.1458333330075,-18.3125000002475,2.21216702461243,328
-69.3124999996755,-18.3125000002475,3.15183305740356,307
-69.3958333330095,-18.3125000002475,3.08349990844727,286
-69.1874999996745,-18.2708333335805,1.64633297920227,332
-69.0208333330065,-18.2291666669135,3.06299996376038,357
-69.5624999996775,-18.2291666669135,8.31900024414062,200
-69.4791666663435,-18.1875000002465,3.1965000629425,281
-69.4791666663435,-18.1875000002465,3.1965000629425,281
-69.3541666663425,-18.1875000002465,3.25399994850159,304
-69.3541666663425,-18.1875000002465,3.25399994850159,304
-69.5624999996775,-18.1875000002465,7.91300010681152,208
-69.1874999996745,-18.1875000002465,2.25916695594788,341
-68.9791666663395,-18.1458333335795,5.15833282470703,364
-68.8958333330055,-18.1041666669125,-0.315666705369949,426
-69.2708333330085,-18.1041666669125,3.19149994850159,331
-69.5208333330105,-18.1041666669125,-0.0158333200961351,344
-69.5624999996775,-18.1041666669125,3.91983294487,272
-69.2708333330085,-18.1041666669125,3.19149994850159,331
-69.4374999996765,-18.0625000002455,1.66250002384186,334
-68.8958333330055,-18.0625000002455,2.88450002670288,390
-69.3958333330095,-18.0208333335785,3.33049988746643,315
-69.6041666663445,-17.9791666669115,7.80266714096069,219
-69.3124999996755,-17.9791666669115,4.11733293533325,330
-69.5624999996775,-17.9791666669115,7.07483291625977,234
-69.6874999996785,-17.9375000002445,5.08183288574219,246
-69.6041666663445,-17.8958333335775,7.1733341217041,236
-69.7291666663455,-17.8541666669105,6.5939998626709,227
-69.3124999996755,-17.8541666669105,5.80233287811279,327
-69.3541666663425,-17.8125000002435,5.63149976730347,328
-69.4374999996765,-17.8125000002435,3.70783305168152,332
-69.4791666663435,-17.8125000002435,2.15316700935364,350
-69.7708333330125,-17.7708333335765,5.41033315658569,249
-69.8124999996795,-17.7708333335765,4.70316600799561,257
-69.6041666663445,-17.7708333335765,3.1568329334259,314
-69.3541666663425,-17.7708333335765,6.54766702651978,319
-69.5624999996775,-17.6875000002425,5.555832862854,299
-69.3958333330095,-17.6875000002425,7.2106671333313,310
-69.6874999996785,-17.6875000002425,5.74533319473267,273
-69.4791666663435,-17.6875000002425,5.55683279037476,318
-69.4791666663435,-17.6041666669085,7.38250017166138,305
-68.6458333330035,-17.2291666669055,9.40533447265625,461
-66.4374999996525,-17.0208333335705,8.70300006866455,915
-68.9374999996725,-16.9375000002365,8.71766662597656,562
-70.6458333330195,-16.8541666669025,6.07800006866455,348
-69.0208333330065,-16.7291666669015,8.62383365631104,647
-68.9374999996725,-16.6875000002345,8.35533332824707,667
-70.6041666663525,-16.6041666669005,4.7896671295166,467
-71.4374999996925,-16.5208333335665,12.6401700973511,94
-70.9791666663555,-16.4375000002325,2.40466690063477,465
-71.1458333330235,-16.3541666668985,4.33383321762085,370
-71.1874999996905,-16.3541666668985,4.17266702651978,368
-71.3124999996915,-16.3125000002315,4.20433282852173,357
-71.4374999996925,-16.3125000002315,6.01249980926514,292
-70.8958333330215,-16.3125000002315,3.10466694831848,502
